WEEK,DAY,EXERCISE,W,SETS,REPS,RPE,REST,SUB 1,SUB 2,NOTE
WEEK6|Push #1|Bench Press|3-4|1|3-5|7|~3-4m|DB Bench Press|Machine Chest Press|편안한 아치를 만들고, 가슴에서 잠시 멈춘 뒤 매 횟수마다 폭발적으로 밀어 올리세요.
||Larsen Press|0|2|10|7|~3-4m|DB Bench (No Leg Drive)|Machine Chest (No Leg)|견갑골은 여전히 후인 및 하강된 상태를 유지하세요. 상부 등에는 약간의 아치를 만들고, 다리의 힘은 전혀 사용하지 않습니다.
||Standing DB Arnold Press|2|3|8-10|7|~2-3m|Seated DB Shoulder Press|Machine Shoulder Press|팔꿈치를 몸 앞에 두고 손바닥이 몸을 향하게 시작하세요. 덤벨을 위로 밀면서 손바닥이 정면을 향하도록 회전시킵니다.
||Press-Around|1|2|12-15|8|0m|DB Flye|Deficit Push Up|운동하지 않는 팔로 몸을 지탱하고, 케이블을 몸 안쪽으로 가로질러 누르며 가슴 근육을 강하게 쥐어짜세요.
||↳Pec Static Stretch|0|2|30s hold|-|0m|-|-|30초 동안 가슴 스트레칭 상태를 유지하세요. 스트레칭 강도는 10점 만점에 약 7점 정도의 강도로 유지해야 합니다.
||Cable Y Raise (Side)|1|3|12-15|8|~1-2m|DB Lateral Raise|Machine Lateral Raise|옆구리에서 마치 칼을 뽑는 것처럼 케이블을 바깥쪽과 위쪽으로 휘두른다고 생각하세요.
||Triceps Pressdown + OH Ext|1|3|8+8|8|~1-2m|Triceps Pressdown|DB Skull Crusher|프레스다운에서는 가동 범위의 후반부인 수축만 수행하고, 오버헤드 익스텐션에서는 가동 범위의 전반부인 스트레칭만 수행하세요.
||Cross-Body Triceps Ext|0|2|10-12|8|~1-2m|Single Arm Pressdown|Cable Kickback|일반적인 프레스다운보다 팔을 좀 더 옆으로 벌린 상태에서 삼두근을 신전시키세요. 케이블이 몸통을 가로질러 움직일 때 느껴지는 스트레칭에 집중하십시오.
|Pull #1|Lat Pulldown (Feeder)|0|4|10|-|~2-3m|Machine Pulldown|Pull-Up|세트마다 무게를 점진적으로 올리면서 10회씩 4회의 피더 세트를 수행하세요. 세트 1은 상당히 가볍게(RPE 4-5) 하고, 세트 2는 조금 더 무겁게(RPE 6-7), 세트 3은 다시 조금 더 무겁게(RPE 7-8) 진행합니다. 세트 4는 하드 세트입니다. 이 마지막 세트에서는 10회에서 실패 지점에 도달하도록 하세요.
||Lat Pulldown (Failure+Drop)|0|1|10+5|10|~2-3m|Machine Pulldown|Pull-Up|약 10회에서 실패 지점에 도달한 후, 드롭세트를 수행하세요. 무게를 약 30-50% 줄이고 정교하고 통제된 자세로 5회를 추가로 수행합니다.
||Chest Supported Row|2|3|10-12|7|~2-3m|Incline DB Row|Cable Seated Row|3회의 본 세트 동안 3가지의 서로 다른 그립을 사용하세요. (가급적 넓은 그립에서 좁은 그립 순서로 진행합니다)
